ff	brightest
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000060_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	144
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000061_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	62
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000062_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	118
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000063_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	185
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000064_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	179
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000065_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	122
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000066_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	198
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000066_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	53
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000067_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	159
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000068_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	175
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000069_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	104
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000070_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	108
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000071_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	74
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000071_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	98
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000072_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	48
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000072_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	175
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000073_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	202
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000073_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	157
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000074_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	126
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000074_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	140
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000075_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	202
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000076_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	146
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000076_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	201
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000076_seg003_03_warp_m0g80c8e1e-1x26r4.nrrd	169
